total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
81.5,Uganda,1367.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
81.5,Uganda,1488.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
81.42,India,1000.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
81.25,India,750.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
80.92,Uganda,1600.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
80.58,Uganda,1745.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
80.5,Uganda,1200.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
80.17,India,750.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
80.17,India,750.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
79.33,United States,3000.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
78.08,Ecuador,40.0,-2.0,-77.5,80.955,420.0,Medium Quality,2
77.17,United States,795.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
